TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-059358-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/04/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_059358c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_059358c\worklib\02_059358c_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
84,1,E003678,RES SMD 1K Ohm 1% 1/10W 0603 AEC-Q200, 1K,R0603,1,N/A,1/10W,R70,PANASONIC, ERJ-3EKF1001V,REL,A003-0032-013,41816DG207,FEC 911-239,N/A,7001194,?,?
85,2,E031875,RES SMD 4.7K Ohm 5% 1/10W 0603, 4.7K,R0603,5,N/A,1/10W,"R72,R74",YAGEO, RC0603JR-074K7L,REL,N/A,N/A,N/A,N/A,N/A,?,?
86,1,E003513,RES SMD 820 Ohm 1% 1/8W 0805 AEC-Q200,820,R0805,1,N/A,1/8W,R8,PANASONIC, ERJ-6ENF8200V,REL,N/A,N/A,FEC 911-847,N/A,7008454,?,?
87,1,E015615,RES SMD 120K Ohm 1% 1/10W 0402 AEC-Q200, 120K,R0402,1,N/A,1/10W,R9,PANASONIC, ERJ-2RKF1203X,REL,N/A,N/A,N/A,N/A,7006037,?,?
88,1,E025176,"SW TACTILE, MICROMINIATURE TOP ACTUATED, SPST-NO", PTS830 GM140 SMTR LFS,SWSML102W120H59,N/A,N/A,N/A,S1,C&K, PTS830 GM140 SMTR LFS,REL,N/A,N/A,N/A,N/A,N/A,?,?
89,3,E005347,CONN-PCB TST PNT BLK, BLK,CNKEY5001TP,N/A,N/A,N/A,"TP1,TP2,TP3",KEYSTONE ELECTRONICS,5001,REL,ADD_TO_STOCK1,42009JH001,N/A,N/A,6001621,?,?
90,3,E019485,CONN-PCB TEST POINT RED, RED,CNKEY5001TP,N/A,N/A,N/A,"TP5,TP6,TP9",VERO TECHNOLOGIES, 20-313137,REL,N/A,N/A,N/A,N/A,6001481,?,?
91,1,E033675,"IC-ADI FAULT PROTECTION AND DETECION, 20OHM, DUAL SPST SWITCH PRELIM", ADG5421FBCPZ-RL7,DFN10_3X2,N/A,N/A,?,U1,ANALOG DEVICES, ADG5421FBCPZ-RL7,RWC,N/A,N/A,N/A,N/A,N/A,?,?
92,1,E023531,"IC-ADI 20V, 200mA, LOW NOISE,CMOS LDO LINEAR REG, 3.3 VOUT", ADP7118ACPZN3.3,DFN6_2X2_PAD1_6X1,N/A,3.3V,?,U10,ANALOG DEVICES, ADP7118ACPZN3.3-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
93,1,E030126,IC LIN 200MA 2 TERMINAL PROGAMMABLE CURRENT SOURCE, LT3092ETS8#TRMPBF,TSOT-8,N/A,N/A,?,U2,LINEAR TECHNOLOGY, LT3092ETS8#TRMPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
94,1,E026691,IC-ADI AC DYNAMIC SIGNAL ANALYSIS 24 BIT ADC WITH POWER SCALING, AD7768-1BCPZ,QFN28_5X4_PAD3_6X2_6,N/A,N/A,?,U3,ANALOG DEVICES, AD7768-1BCPZ,REL,N/A,N/A,N/A,N/A,N/A,?,?
95,1,E028779,"IC-ADI HIGH-SPEED, FULLY DIFFERENTIAL ADC DRIVER", ADA4945-1ACPZ-R7,QFN16_3X3_PAD1_6X1_6,N/A,N/A,?,U4,ANALOG DEVICES, ADA4945-1ACPZ-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
96,1,E030222,IC-LIN MICROPOWER SYNCHRONOUS BOOST CONVERTER, LTC3459EDCB#PBF,DFN6_2X3_PAD1_35X1_65,N/A,N/A,?,U5,LINEAR TECHNOLOGY, LTC3459EDCB#PBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
97,1,E033579,IC LDO LINEAR REGULATOR, LT3008EDC#TRMPBF,DFN6_2X2_PAD1_37X0_56,N/A,N/A,?,U6,LINEAR TECHNOLOGY, LT3008EDC#TRMPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
98,1,E021288,"IC-ADI 20V, 200mA LOW NOISE, CMOS LIN REG, 5 VOUT", ADP7118ACPZN5.0,DFN6_2X2_PAD1_6X1,N/A,N/A,?,U7,ANALOG DEVICES, ADP7118ACPZN5.0-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
99,1,E034503,IC-ADI 16-BIT RAIL-TO-RAIL DACS WITH I2C INTERFACE, LTC2606IDD-1#PBF,DFN10_3X3_PAD2_38X1_64,N/A,N/A,?,U8,ANALOG DEVICES, LTC2606IDD-1#PBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
100,1,E017544,"IC-ADI ULTRA LOW NOISE, HIGH ACCURACY VREF", ADR4540BRZ,SO8,N/A,N/A,?,U9,ADI, ADR4540BRZ,REL,N/A,N/A,N/A,N/A,1003975,?,?
101,1,E033551,IC-LIN MICROPOWER LOW NOISE BOOST CONVERTERS WITH OUTPUT DISCONNECT, LT3494EDDB#TRMPBF,DFN8_3X2_PAD2_15X0_56,N/A,N/A,?,VR1,LINEAR TECHNOLOGY, LT3494EDDB#TRMPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
102,1,E031111,IC CRYSTAL LOW POWER PROGRAMMABLE OSCILLATOR, 16.384MEGHZ,YSML126W98H31,N/A,3.3V,N/A,Y1,SITIME, SIT8008BI-21-33E-16.384000G,REL,N/A,N/A,N/A,N/A,N/A,?,?
103,1,E013703,RES SMD 10.2K Ohm 1% 1/10W 0603 AEC-Q200 , 10.2K,R0603,1,N/A,1/10W,C44,PANASONIC,ERJ-3EKF1022V,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Callouts File:C:\tmp\20_059358c\worklib\02_059358c_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
Mechanical Parts,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
